Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion
transport-ground;transport-ground;transport-ground;transport-ground;transport-ground;transport-ground;transport-ground;transport-ground;transport-ground;transport-ground;transport-ground;transport-ground;transport-ground;transport-ground;transport-ground
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
837;U+1F682;🚂;;;;;;;;—;—;—;—;locomotive
838;U+1F683;🚃;;;;;;;;;;;;railway car
839;U+1F684;🚄;;;;;;;;;;;—;high-speed train
840;U+1F685;🚅;;;;;;;;;;—;;bullet train
841;U+1F686;🚆;;;;;;;;—;—;—;—;train
842;U+1F687;🚇;;;;;;;;;;—;;metro
843;U+1F688;🚈;;;;;;;;—;—;—;—;light rail
844;U+1F689;🚉;;;;;;;;;;—;;station
845;U+1F68A;🚊;;;;;;;;—;—;—;—;tram
846;U+1F69D;🚝;;;;;;;;—;—;—;—;monorail
847;U+1F69E;🚞;;;;;;;;—;—;—;—;mountain railway
848;U+1F68B;🚋;;;;;;;;—;—;—;—;tram car
849;U+1F68C;🚌;;;;;;;;;;;;bus
850;U+1F68D;🚍;;;;;;;;—;—;—;—;oncoming bus
851;U+1F68E;🚎;;;;;;;;—;—;—;—;trolleybus
852;U+1F690;🚐;;;;;;;;—;—;—;—;minibus
853;U+1F691;🚑;;;;;;;;;;—;;ambulance
854;U+1F692;🚒;;;;;;;;;;—;;fire engine
855;U+1F693;🚓;;;;;;;;;;—;;police car
856;U+1F694;🚔;;;;;;;;—;—;—;—;oncoming police car
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
857;U+1F695;🚕;;;;;;;;;;—;—;taxi
858;U+1F696;🚖;;;;;;;;—;—;—;—;oncoming taxi
859;U+1F697;🚗;;;;;;;;;;;;automobile
860;U+1F698;🚘;;;;;;;;—;—;—;—;oncoming automobile
861;U+1F699;🚙;;;;;;;;;;;—;sport utility vehicle
862;U+1F6FB;🛻;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ pickup truck
863;U+1F69A;🚚;;;;;;;;;;—;;delivery truck
864;U+1F69B;🚛;;;;;;;;—;—;—;—;articulated lorry
865;U+1F69C;🚜;;;;;;;;—;—;—;—;tractor
866;U+1F3CE;🏎;;;;;;;;—;—;—;—;racing car
867;U+1F3CD;🏍;;;;;;;;—;—;—;—;motorcycle
868;U+1F6F5;🛵;;;;;;;;—;—;—;—;motor scooter
869;U+1F9BD;🦽;;;;;;;;—;—;—;—;manual wheelchair
870;U+1F9BC;🦼;;;;;;;;—;—;—;—;motorized wheelchair
871;U+1F6FA;🛺;;;;;;;;—;—;—;—;auto rickshaw
872;U+1F6B2;🚲;;;;;;;;;;;;bicycle
873;U+1F6F4;🛴;;;;;;;;—;—;—;—;kick scooter
874;U+1F6F9;🛹;;;;;;;;—;—;—;—;skateboard
875;U+1F6FC;🛼;—;;—;—;—;;—;—;—;—;—;⊛ roller skate
876;U+1F68F;🚏;;;;;;;;;;—;;bus stop
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
877;U+1F6E3;🛣;;;;;;;;—;—;—;—;motorway
878;U+1F6E4;🛤;;;;;;;;—;—;—;—;railway track
879;U+1F6E2;🛢;;;;;;;;—;—;—;—;oil drum
880;U+26FD;⛽;;;;;;;;;;;;fuel pump
881;U+1F6A8;🚨;;;;;;;;;—;—;;police car light
882;U+1F6A5;🚥;;;;;;;;;;;;horizontal traffic light
883;U+1F6A6;🚦;;;;;;;;—;—;—;—;vertical traffic light
884;U+1F6D1;🛑;;;;;;;;—;—;—;—;stop sign
885;U+1F6A7;🚧;;;;;;;;;;—;;construction
transport-water;transport-water;transport-water;transport-water;transport-water;transport-water;transport-water;transport-water;transport-water;transport-water;transport-water;transport-water;transport-water;transport-water;transport-water
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
886;U+2693;⚓;;;;;;;;;—;—;;anchor
887;U+26F5;⛵;;;;;;;;;;;;sailboat
888;U+1F6F6;🛶;;;;;;;;—;—;—;—;canoe
889;U+1F6A4;🚤;;;;;;;;;;—;—;speedboat
890;U+1F6F3;🛳;;;;;;;;—;—;—;—;passenger ship
891;U+26F4;⛴;;;;;;;;—;—;—;—;ferry
892;U+1F6E5;🛥;;;;;;;;—;—;—;—;motor boat
893;U+1F6A2;🚢;;;;;;;;;;;;ship
transport-air;transport-air;transport-air;transport-air;transport-air;transport-air;transport-air;transport-air;transport-air;transport-air;transport-air;transport-air;transport-air;transport-air;transport-air
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
894;U+2708;✈;;;;;;;;;;;;airplane
895;U+1F6E9;🛩;;;;;;;;—;—;—;—;small airplane
896;U+1F6EB;🛫;;;;;;;;—;—;—;—;airplane departure
897;U+1F6EC;🛬;;;;;;;;—;—;—;—;airplane arrival
898;U+1FA82;🪂;;;;;;;;—;—;—;—;parachute
899;U+1F4BA;💺;;;;;;;;;;;—;seat
900;U+1F681;🚁;;;;;;;;—;—;—;—;helicopter
901;U+1F69F;🚟;;;;;;;;—;—;—;—;suspension railway
902;U+1F6A0;🚠;;;;;;;;—;—;—;—;mountain cableway
903;U+1F6A1;🚡;;;;;;;;—;—;—;—;aerial tramway
904;U+1F6F0;🛰;;;;;;;;—;—;—;—;satellite
905;U+1F680;🚀;;;;;;;;;;—;;rocket
906;U+1F6F8;🛸;;;;;;;;—;—;—;—;flying saucer
hotel;hotel;hotel;hotel;hotel;hotel;hotel;hotel;hotel;hotel;hotel;hotel;hotel;hotel;hotel
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
907;U+1F6CE;🛎;;;;;;;;—;—;—;—;bellhop bell
908;U+1F9F3;🧳;;;;;;;;—;—;—;—;luggage
time;time;time;time;time;time;time;time;time;time;time;time;time;time;time
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
909;U+231B;⌛;;;;;;;;;—;—;;hourglass done
910;U+23F3;⏳;;;;;;;;;—;;;hourglass not done
911;U+231A;⌚;;;;;;;;;—;;;watch
912;U+23F0;⏰;;;;;;;;;—;;;alarm clock
913;U+23F1;⏱;;;;;;;;—;—;—;—;stopwatch
914;U+23F2;⏲;;;;;;;;—;—;—;—;timer clock
915;U+1F570;🕰;;;;;;;;—;—;—;—;mantelpiece clock
916;U+1F55B;🕛;;;;;;;;;;—;—;twelve o’clock
917;U+1F567;🕧;;;;;;;;—;—;—;—;twelve-thirty
918;U+1F550;🕐;;;;;;;;;;—;—;one o’clock
919;U+1F55C;🕜;;;;;;;;—;—;—;—;one-thirty
920;U+1F551;🕑;;;;;;;;;;—;—;two o’clock
921;U+1F55D;🕝;;;;;;;;—;—;—;—;two-thirty
922;U+1F552;🕒;;;;;;;;;;—;—;three o’clock
923;U+1F55E;🕞;;;;;;;;—;—;—;—;three-thirty
924;U+1F553;🕓;;;;;;;;;;—;—;four o’clock
925;U+1F55F;🕟;;;;;;;;—;—;—;—;four-thirty
926;U+1F554;🕔;;;;;;;;;;—;—;five o’clock
927;U+1F560;🕠;;;;;;;;—;—;—;—;five-thirty
928;U+1F555;🕕;;;;;;;;;;—;—;six o’clock
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
929;U+1F561;🕡;;;;;;;;—;—;—;—;six-thirty
930;U+1F556;🕖;;;;;;;;;;—;—;seven o’clock
931;U+1F562;🕢;;;;;;;;—;—;—;—;seven-thirty
932;U+1F557;🕗;;;;;;;;;;—;—;eight o’clock
933;U+1F563;🕣;;;;;;;;—;—;—;—;eight-thirty
934;U+1F558;🕘;;;;;;;;;;—;—;nine o’clock
935;U+1F564;🕤;;;;;;;;—;—;—;—;nine-thirty
936;U+1F559;🕙;;;;;;;;;;—;—;ten o’clock
937;U+1F565;🕥;;;;;;;;—;—;—;—;ten-thirty
938;U+1F55A;🕚;;;;;;;;;;—;—;eleven o’clock
939;U+1F566;🕦;;;;;;;;—;—;—;—;eleven-thirty
sky & weather;sky & weather;sky & weather;sky & weather;sky & weather;sky & weather;sky & weather;sky & weather;sky & weather;sky & weather;sky & weather;sky & weather;sky & weather;sky & weather;sky & weather
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
940;U+1F311;🌑;;;;;;;;;—;;;new moon
941;U+1F312;🌒;;;;;;;;—;—;—;—;waxing crescent moon
942;U+1F313;🌓;;;;;;;;;—;;;first quarter moon
943;U+1F314;🌔;;;;;;;;;—;;;waxing gibbous moon
944;U+1F315;🌕;;;;;;;;;—;;—;full moon
945;U+1F316;🌖;;;;;;;;—;—;—;—;waning gibbous moon
946;U+1F317;🌗;;;;;;;;—;—;—;—;last quarter moon
947;U+1F318;🌘;;;;;;;;—;—;—;—;waning crescent moon
948;U+1F319;🌙;;;;;;;;;;;;crescent moon
949;U+1F31A;🌚;;;;;;;;—;—;—;—;new moon face
950;U+1F31B;🌛;;;;;;;;;—;—;;first quarter moon face
951;U+1F31C;🌜;;;;;;;;—;—;—;—;last quarter moon face
952;U+1F321;🌡;;;;;;;;—;—;—;—;thermometer
953;U+2600;☀;;;;;;;;;;;;sun
954;U+1F31D;🌝;;;;;;;;—;—;—;—;full moon face
955;U+1F31E;🌞;;;;;;;;—;—;—;—;sun with face
956;U+1FA90;🪐;;;;;;;;—;—;—;—;ringed planet
957;U+2B50;⭐;;;;;;;;—;;—;;star
958;U+1F31F;🌟;;;;;;;;;;—;—;glowing star
959;U+1F320;🌠;;;;;;;;;—;—;;shooting star
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
960;U+1F30C;🌌;;;;;;;;;—;—;;milky way
961;U+2601;☁;;;;;;;;;;;;cloud
962;U+26C5;⛅;;;;;;;;;—;—;;sun behind cloud
963;U+26C8;⛈;;;;;;;;—;—;—;—;cloud with lightning and rain
964;U+1F324;🌤;;;;;;;;—;—;—;—;sun behind small cloud
965;U+1F325;🌥;;;;;;;;—;—;—;—;sun behind large cloud
966;U+1F326;🌦;;;;;;;;—;—;—;—;sun behind rain cloud
967;U+1F327;🌧;;;;;;;;—;—;—;—;cloud with rain
968;U+1F328;🌨;;;;;;;;—;—;—;—;cloud with snow
969;U+1F329;🌩;;;;;;;;—;—;—;—;cloud with lightning
970;U+1F32A;🌪;;;;;;;;—;—;—;—;tornado
971;U+1F32B;🌫;;;;;;;;—;—;—;—;fog
972;U+1F32C;🌬;;;;;;;;—;—;—;—;wind face
973;U+1F300;🌀;;;;;;;;;;;;cyclone
974;U+1F308;🌈;;;;;;;;;;—;;rainbow
975;U+1F302;🌂;;;;;;;;;;;;closed umbrella
976;U+2602;☂;;;;;;;;—;—;—;—;umbrella
977;U+2614;☔;;;;;;;;;;;;umbrella with rain drops
978;U+26F1;⛱;;;;;;;;—;—;—;—;umbrella on ground
979;U+26A1;⚡;;;;;;;;;;;;high voltage
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
980;U+2744;❄;;;;;;;;;—;—;;snowflake
981;U+2603;☃;;;;;;;;—;—;—;—;snowman
982;U+26C4;⛄;;;;;;;;;;;;snowman without snow
983;U+2604;☄;;;;;;;;—;—;—;—;comet
984;U+1F525;🔥;;;;;;;;;;—;;fire
985;U+1F4A7;💧;;;;;;;;;—;;;droplet
986;U+1F30A;🌊;;;;;;;;;;;;water wave
Activities;Activities;Activities;Activities;Activities;Activities;Activities;Activities;Activities;Activities;Activities;Activities;Activities;Activities;Activities
event;event;event;event;event;event;event;event;event;event;event;event;event;event;event
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
987;U+1F383;🎃;;;;;;;;;;—;;jack-o-lantern
988;U+1F384;🎄;;;;;;;;;;;;Christmas tree
989;U+1F386;🎆;;;;;;;;;;—;;fireworks
990;U+1F387;🎇;;;;;;;;;;—;;sparkler
991;U+1F9E8;🧨;;;;;;;;—;—;—;—;firecracker
992;U+2728;✨;;;;;;;;;;;;sparkles
993;U+1F388;🎈;;;;;;;;;;—;;balloon
994;U+1F389;🎉;;;;;;;;;;—;;party popper
995;U+1F38A;🎊;;;;;;;;;—;—;;confetti ball
996;U+1F38B;🎋;;;;;;;;;—;—;;tanabata tree
997;U+1F38D;🎍;;;;;;;;;;—;;pine decoration
998;U+1F38E;🎎;;;;;;;;;;—;;Japanese dolls
999;U+1F38F;🎏;;;;;;;;;;—;;carp streamer
1000;U+1F390;🎐;;;;;;;;;;—;;wind chime
1001;U+1F391;🎑;;;;;;;;;;—;;moon viewing ceremony
1002;U+1F9E7;🧧;;;;;;;;—;—;—;—;red envelope
1003;U+1F380;🎀;;;;;;;;;;;;ribbon
1004;U+1F381;🎁;;;;;;;;;;;;wrapped gift
1005;U+1F397;🎗;;;;;;;;—;—;—;—;reminder ribbon
1006;U+1F39F;🎟;;;;;;;;—;—;—;—;admission tickets
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1007;U+1F3AB;🎫;;;;;;;;;;;;ticket
award-medal;award-medal;award-medal;award-medal;award-medal;award-medal;award-medal;award-medal;award-medal;award-medal;award-medal;award-medal;award-medal;award-medal;award-medal
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1008;U+1F396;🎖;;;;;;;;—;—;—;—;military medal
1009;U+1F3C6;🏆;;;;;;;;;;—;;trophy
1010;U+1F3C5;🏅;;;;;;;;—;—;—;—;sports medal
1011;U+1F947;🥇;;;;;;;;—;—;—;—;1st place medal
1012;U+1F948;🥈;;;;;;;;—;—;—;—;2nd place medal
1013;U+1F949;🥉;;;;;;;;—;—;—;—;3rd place medal
sport;sport;sport;sport;sport;sport;sport;sport;sport;sport;sport;sport;sport;sport;sport
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1014;U+26BD;⚽;;;;;;;;;;;;soccer ball
1015;U+26BE;⚾;;;;;;;;;;;;baseball
1016;U+1F94E;🥎;;;;;;;;—;—;—;—;softball
1017;U+1F3C0;🏀;;;;;;;;;;;;basketball
1018;U+1F3D0;🏐;;;;;;;;—;—;—;—;volleyball
1019;U+1F3C8;🏈;;;;;;;;;;—;;american football
1020;U+1F3C9;🏉;;;;;;;;—;—;—;—;rugby football
1021;U+1F3BE;🎾;;;;;;;;;;;;tennis
1022;U+1F94F;🥏;;;;;;;;—;—;—;—;flying disc
1023;U+1F3B3;🎳;;;;;;;;;—;—;;bowling
1024;U+1F3CF;🏏;;;;;;;;—;—;—;—;cricket game
1025;U+1F3D1;🏑;;;;;;;;—;—;—;—;field hockey
1026;U+1F3D2;🏒;;;;;;;;—;—;—;—;ice hockey
1027;U+1F94D;🥍;;;;;;;;—;—;—;—;lacrosse
1028;U+1F3D3;🏓;;;;;;;;—;—;—;—;ping pong
1029;U+1F3F8;🏸;;;;;;;;—;—;—;—;badminton
1030;U+1F94A;🥊;;;;;;;;—;—;—;—;boxing glove
1031;U+1F94B;🥋;;;;;;;;—;—;—;—;martial arts uniform
1032;U+1F945;🥅;;;;;;;;—;—;—;—;goal net
1033;U+26F3;⛳;;;;;;;;;;;;flag in hole
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1034;U+26F8;⛸;;;;;;;;—;—;—;—;ice skate
1035;U+1F3A3;🎣;;;;;;;;;—;—;;fishing pole
1036;U+1F93F;🤿;;;;;;;;—;—;—;—;diving mask
1037;U+1F3BD;🎽;;;;;;;;;—;;—;running shirt
1038;U+1F3BF;🎿;;;;;;;;;;;;skis
1039;U+1F6F7;🛷;;;;;;;;—;—;—;—;sled
1040;U+1F94C;🥌;;;;;;;;—;—;—;—;curling stone
game;game;game;game;game;game;game;game;game;game;game;game;game;game;game
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1041;U+1F3AF;🎯;;;;;;;;;;—;;direct hit
1042;U+1FA80;🪀;;;;;;;;—;—;—;—;yo-yo
1043;U+1FA81;🪁;;;;;;;;—;—;—;—;kite
1044;U+1F3B1;🎱;;;;;;;;;;—;;pool 8 ball
1045;U+1F52E;🔮;;;;;;;;;—;—;;crystal ball
1046;U+1FA84;🪄;—;;—;—;—;;—;—;—;—;—;⊛ magic wand
1047;U+1F9FF;🧿;;;;;;;;—;—;—;—;nazar amulet
1048;U+1F3AE;🎮;;;;;;;;;—;;;video game
1049;U+1F579;🕹;;;;;;;;—;—;—;—;joystick
1050;U+1F3B0;🎰;;;;;;;;;;—;;slot machine
1051;U+1F3B2;🎲;;;;;;;;;—;—;;game die
1052;U+1F9E9;🧩;;;;;;;;—;—;—;—;puzzle piece
1053;U+1F9F8;🧸;;;;;;;;—;—;—;—;teddy bear
1054;U+1FA85;🪅;—;;—;—;—;;—;—;—;—;—;⊛ piñata
1055;U+1FA86;🪆;—;;—;—;—;;—;—;—;—;—;⊛ nesting dolls
1056;U+2660;♠;;;;;;;;;;;;spade suit
1057;U+2665;♥;;;;;;;;;;;;heart suit
1058;U+2666;♦;;;;;;;;;;;;diamond suit
1059;U+2663;♣;;;;;;;;;;;;club suit
1060;U+265F;♟;;;;;;;;—;—;—;—;chess pawn
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1061;U+1F0CF;🃏;;;;;;;;;—;—;;joker
1062;U+1F004;🀄;;;;;;;;;;—;;mahjong red dragon
1063;U+1F3B4;🎴;;;;;;;;;—;—;;flower playing cards
arts & crafts;arts & crafts;arts & crafts;arts & crafts;arts & crafts;arts & crafts;arts & crafts;arts & crafts;arts & crafts;arts & crafts;arts & crafts;arts & crafts;arts & crafts;arts & crafts;arts & crafts
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1064;U+1F3AD;🎭;;;;;;;;;—;—;;performing arts
1065;U+1F5BC;🖼;;;;;;;;—;—;—;—;framed picture
1066;U+1F3A8;🎨;;;;;;;;;;;;artist palette
1067;U+1F9F5;🧵;;;;;;;;—;—;—;—;thread
1068;U+1FAA1;🪡;—;;—;—;—;;—;—;—;—;—;⊛ sewing needle
1069;U+1F9F6;🧶;;;;;;;;—;—;—;—;yarn
1070;U+1FAA2;🪢;—;;—;—;—;;—;—;—;—;—;⊛ knot
Objects;Objects;Objects;Objects;Objects;Objects;Objects;Objects;Objects;Objects;Objects;Objects;Objects;Objects;Objects
clothing;clothing;clothing;clothing;clothing;clothing;clothing;clothing;clothing;clothing;clothing;clothing;clothing;clothing;clothing
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1071;U+1F453;👓;;;;;;;;;—;;;glasses
1072;U+1F576;🕶;;;;;;;;—;—;—;—;sunglasses
1073;U+1F97D;🥽;;;;;;;;—;—;—;—;goggles
1074;U+1F97C;🥼;;;;;;;;—;—;—;—;lab coat
1075;U+1F9BA;🦺;;;;;;;;—;—;—;—;safety vest
1076;U+1F454;👔;;;;;;;;;;—;;necktie
1077;U+1F455;👕;;;;;;;;;;;;t-shirt
1078;U+1F456;👖;;;;;;;;;—;;;jeans
1079;U+1F9E3;🧣;;;;;;;;—;—;—;—;scarf
1080;U+1F9E4;🧤;;;;;;;;—;—;—;—;gloves
1081;U+1F9E5;🧥;;;;;;;;—;—;—;—;coat
1082;U+1F9E6;🧦;;;;;;;;—;—;—;—;socks
1083;U+1F457;👗;;;;;;;;;;—;;dress
1084;U+1F458;👘;;;;;;;;;;—;;kimono
1085;U+1F97B;🥻;;;;;;;;—;—;—;—;sari
1086;U+1FA71;🩱;;;;;;;;—;—;—;—;one-piece swimsuit
1087;U+1FA72;🩲;;;;;;;;—;—;—;—;briefs
1088;U+1FA73;🩳;;;;;;;;—;—;—;—;shorts
1089;U+1F459;👙;;;;;;;;;;—;;bikini
1090;U+1F45A;👚;;;;;;;;;—;—;;woman’s clothes
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1091;U+1F45B;👛;;;;;;;;;—;;;purse
1092;U+1F45C;👜;;;;;;;;;;;;handbag
1093;U+1F45D;👝;;;;;;;;;—;;—;clutch bag
1094;U+1F6CD;🛍;;;;;;;;—;—;—;—;shopping bags
1095;U+1F392;🎒;;;;;;;;;;—;;backpack
1096;U+1FA74;🩴;—;;—;—;—;;—;—;—;—;—;⊛ thong sandal
1097;U+1F45E;👞;;;;;;;;;—;—;;man’s shoe
1098;U+1F45F;👟;;;;;;;;;;;;running shoe
1099;U+1F97E;🥾;;;;;;;;—;—;—;—;hiking boot
1100;U+1F97F;🥿;;;;;;;;—;—;—;—;flat shoe
1101;U+1F460;👠;;;;;;;;;;;;high-heeled shoe
1102;U+1F461;👡;;;;;;;;;;—;—;woman’s sandal
1103;U+1FA70;🩰;;;;;;;;—;—;—;—;ballet shoes
1104;U+1F462;👢;;;;;;;;;;—;;woman’s boot
1105;U+1F451;👑;;;;;;;;;;;;crown
1106;U+1F452;👒;;;;;;;;;;—;;woman’s hat
1107;U+1F3A9;🎩;;;;;;;;;;;;top hat
1108;U+1F393;🎓;;;;;;;;;;—;;graduation cap
1109;U+1F9E2;🧢;;;;;;;;—;—;—;—;billed cap
1110;U+1FA96;🪖;—;;—;—;—;;—;—;—;—;—;⊛ military helmet
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1111;U+26D1;⛑;;;;;;;;—;—;—;—;rescue worker’s helmet
1112;U+1F4FF;📿;;;;;;;;—;—;—;—;prayer beads
1113;U+1F484;💄;;;;;;;;;;;;lipstick
1114;U+1F48D;💍;;;;;;;;;;;;ring
1115;U+1F48E;💎;;;;;;;;;;—;—;gem stone
sound;sound;sound;sound;sound;sound;sound;sound;sound;sound;sound;sound;sound;sound;sound
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1116;U+1F507;🔇;;;;;;;;—;—;—;—;muted speaker
1117;U+1F508;🔈;;;;;;;;—;—;—;—;speaker low volume
1118;U+1F509;🔉;;;;;;;;—;—;—;—;speaker medium volume
1119;U+1F50A;🔊;;;;;;;;;;—;;speaker high volume
1120;U+1F4E2;📢;;;;;;;;;;—;—;loudspeaker
1121;U+1F4E3;📣;;;;;;;;;;—;—;megaphone
1122;U+1F4EF;📯;;;;;;;;—;—;—;—;postal horn
1123;U+1F514;🔔;;;;;;;;;;;;bell
1124;U+1F515;🔕;;;;;;;;—;—;—;—;bell with slash
music;music;music;music;music;music;music;music;music;music;music;music;music;music;music
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1125;U+1F3BC;🎼;;;;;;;;;—;—;;musical score
1126;U+1F3B5;🎵;;;;;;;;;;;;musical note
1127;U+1F3B6;🎶;;;;;;;;;;;;musical notes
1128;U+1F399;🎙;;;;;;;;—;—;—;—;studio microphone
1129;U+1F39A;🎚;;;;;;;;—;—;—;—;level slider
1130;U+1F39B;🎛;;;;;;;;—;—;—;—;control knobs
1131;U+1F3A4;🎤;;;;;;;;;;;;microphone
1132;U+1F3A7;🎧;;;;;;;;;;;;headphone
1133;U+1F4FB;📻;;;;;;;;;;—;;radio
musical-instrument;musical-instrument;musical-instrument;musical-instrument;musical-instrument;musical-instrument;musical-instrument;musical-instrument;musical-instrument;musical-instrument;musical-instrument;musical-instrument;musical-instrument;musical-instrument;musical-instrument
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1134;U+1F3B7;🎷;;;;;;;;;;—;—;saxophone
1135;U+1FA97;🪗;—;;—;—;—;;—;—;—;—;—;⊛ accordion
1136;U+1F3B8;🎸;;;;;;;;;;—;;guitar
1137;U+1F3B9;🎹;;;;;;;;;—;—;;musical keyboard
1138;U+1F3BA;🎺;;;;;;;;;;—;;trumpet
1139;U+1F3BB;🎻;;;;;;;;;—;—;;violin
1140;U+1FA95;🪕;;;;;;;;—;—;—;—;banjo
1141;U+1F941;🥁;;;;;;;;—;—;—;—;drum
1142;U+1FA98;🪘;—;;—;—;—;;—;—;—;—;—;⊛ long drum
phone;phone;phone;phone;phone;phone;phone;phone;phone;phone;phone;phone;phone;phone;phone
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1143;U+1F4F1;📱;;;;;;;;;;;;mobile phone
1144;U+1F4F2;📲;;;;;;;;;;;;mobile phone with arrow
1145;U+260E;☎;;;;;;;;;;;;telephone
1146;U+1F4DE;📞;;;;;;;;;—;—;;telephone receiver
1147;U+1F4DF;📟;;;;;;;;;—;;;pager
1148;U+1F4E0;📠;;;;;;;;;;;;fax machine
computer;computer;computer;computer;computer;computer;computer;computer;computer;computer;computer;computer;computer;computer;computer
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1149;U+1F50B;🔋;;;;;;;;;—;—;;battery
1150;U+1F50C;🔌;;;;;;;;;—;—;;electric plug
1151;U+1F4BB;💻;;;;;;;;;;;;laptop
1152;U+1F5A5;🖥;;;;;;;;—;—;—;—;desktop computer
1153;U+1F5A8;🖨;;;;;;;;—;—;—;—;printer
1154;U+2328;⌨;;;;;;;;—;—;—;—;keyboard
1155;U+1F5B1;🖱;;;;;;;;—;—;—;—;computer mouse
1156;U+1F5B2;🖲;;;;;;;;—;—;—;—;trackball
1157;U+1F4BD;💽;;;;;;;;;;—;;computer disk
1158;U+1F4BE;💾;;;;;;;;;—;—;;floppy disk
1159;U+1F4BF;💿;;;;;;;;;;;;optical disk
1160;U+1F4C0;📀;;;;;;;;;;—;—;dvd
1161;U+1F9EE;🧮;;;;;;;;—;—;—;—;abacus
light & video;light & video;light & video;light & video;light & video;light & video;light & video;light & video;light & video;light & video;light & video;light & video;light & video;light & video;light & video
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1162;U+1F3A5;🎥;;;;;;;;;;;;movie camera
1163;U+1F39E;🎞;;;;;;;;—;—;—;—;film frames
1164;U+1F4FD;📽;;;;;;;;—;—;—;—;film projector
1165;U+1F3AC;🎬;;;;;;;;;;;;clapper board
1166;U+1F4FA;📺;;;;;;;;;;;;television
1167;U+1F4F7;📷;;;;;;;;;;;;camera
1168;U+1F4F8;📸;;;;;;;;—;—;—;—;camera with flash
1169;U+1F4F9;📹;;;;;;;;;—;—;;video camera
1170;U+1F4FC;📼;;;;;;;;;;—;;videocassette
1171;U+1F50D;🔍;;;;;;;;;;;;magnifying glass tilted left
